date,trend_score,keyword,region
2025-10-05,0,yoga sculpt,chicago
2025-10-12,0,yoga sculpt,chicago
2025-10-19,0,yoga sculpt,chicago
2025-10-26,0,yoga sculpt,chicago
2025-11-02,0,yoga sculpt,chicago
2025-11-09,0,yoga sculpt,chicago
2025-11-16,0,yoga sculpt,chicago
2025-11-23,10,yoga sculpt,chicago
2025-11-30,45,yoga sculpt,chicago
2025-12-07,50,yoga sculpt,chicago
2024-12-08,0,yoga sculpt,salt lake city
2024-12-15,0,yoga sculpt,salt lake city
2024-12-22,0,yoga sculpt,salt lake city
2024-12-29,0,yoga sculpt,salt lake city
2025-01-05,0,yoga sculpt,salt lake city
2025-01-12,100,yoga sculpt,salt lake city
2025-01-19,0,yoga sculpt,salt lake city
2025-01-26,0,yoga sculpt,salt lake city
2025-02-02,0,yoga sculpt,salt lake city
2025-02-09,0,yoga sculpt,salt lake city
2025-02-16,0,yoga sculpt,salt lake city
2025-02-23,0,yoga sculpt,salt lake city
2025-03-02,0,yoga sculpt,salt lake city
2025-03-09,0,yoga sculpt,salt lake city
2025-03-16,0,yoga sculpt,salt lake city
2025-03-23,0,yoga sculpt,salt lake city
2025-03-30,0,yoga sculpt,salt lake city
2025-04-06,0,yoga sculpt,salt lake city
2025-04-13,0,yoga sculpt,salt lake city
2025-04-20,0,yoga sculpt,salt lake city
2025-04-27,0,yoga sculpt,salt lake city
2025-05-04,0,yoga sculpt,salt lake city
2025-05-11,0,yoga sculpt,salt lake city
2025-05-18,0,yoga sculpt,salt lake city
2025-05-25,0,yoga sculpt,salt lake city
2025-06-01,0,yoga sculpt,salt lake city
2025-06-08,0,yoga sculpt,salt lake city
2025-06-15,0,yoga sculpt,salt lake city
2025-06-22,0,yoga sculpt,salt lake city
2025-06-29,0,yoga sculpt,salt lake city
2025-07-06,0,yoga sculpt,salt lake city
2025-07-13,0,yoga sculpt,salt lake city
2025-07-20,0,yoga sculpt,salt lake city
2025-07-27,0,yoga sculpt,salt lake city
2025-08-03,0,yoga sculpt,salt lake city
2025-08-10,0,yoga sculpt,salt lake city
2025-08-17,0,yoga sculpt,salt lake city
2025-08-24,0,yoga sculpt,salt lake city
2025-08-31,0,yoga sculpt,salt lake city
2025-09-07,0,yoga sculpt,salt lake city
2025-09-14,0,yoga sculpt,salt lake city
2025-09-21,0,yoga sculpt,salt lake city
2025-09-28,0,yoga sculpt,salt lake city
2025-10-05,0,yoga sculpt,salt lake city
2025-10-12,0,yoga sculpt,salt lake city
2025-10-19,0,yoga sculpt,salt lake city
2025-10-26,0,yoga sculpt,salt lake city
2025-11-02,0,yoga sculpt,salt lake city
2025-11-09,0,yoga sculpt,salt lake city
2025-11-16,0,yoga sculpt,salt lake city
2025-11-23,0,yoga sculpt,salt lake city
2025-11-30,0,yoga sculpt,salt lake city
2025-12-07,0,yoga sculpt,salt lake city
2024-12-08,0,yoga sculpt,austin
2024-12-15,0,yoga sculpt,austin
2024-12-22,0,yoga sculpt,austin
2024-12-29,0,yoga sculpt,austin
2025-01-05,0,yoga sculpt,austin
2025-01-12,0,yoga sculpt,austin
2025-01-19,0,yoga sculpt,austin
2025-01-26,0,yoga sculpt,austin
2025-02-02,0,yoga sculpt,austin
2025-02-09,0,yoga sculpt,austin
2025-02-16,0,yoga sculpt,austin
2025-02-23,0,yoga sculpt,austin
2025-03-02,0,yoga sculpt,austin
2025-03-09,0,yoga sculpt,austin
2025-03-16,0,yoga sculpt,austin
2025-03-23,0,yoga sculpt,austin
2025-03-30,0,yoga sculpt,austin
2025-04-06,0,yoga sculpt,austin
2025-04-13,0,yoga sculpt,austin
2025-04-20,0,yoga sculpt,austin
2025-04-27,0,yoga sculpt,austin
2025-05-04,0,yoga sculpt,austin
2025-05-11,0,yoga sculpt,austin
2025-05-18,0,yoga sculpt,austin
2025-05-25,0,yoga sculpt,austin
2025-06-01,0,yoga sculpt,austin
2025-06-08,0,yoga sculpt,austin
2025-06-15,0,yoga sculpt,austin
2025-06-22,0,yoga sculpt,austin
2025-06-29,0,yoga sculpt,austin
2025-07-06,0,yoga sculpt,austin
2025-07-13,0,yoga sculpt,austin
2025-07-20,0,yoga sculpt,austin
2025-07-27,0,yoga sculpt,austin
2025-08-03,0,yoga sculpt,austin
2025-08-10,0,yoga sculpt,austin
2025-08-17,0,yoga sculpt,austin
2025-08-24,0,yoga sculpt,austin
2025-08-31,0,yoga sculpt,austin
2025-09-07,0,yoga sculpt,austin
2025-09-14,0,yoga sculpt,austin
2025-09-21,0,yoga sculpt,austin
2025-09-28,0,yoga sculpt,austin
2025-10-05,0,yoga sculpt,austin
2025-10-12,0,yoga sculpt,austin
2025-10-19,0,yoga sculpt,austin
2025-10-26,0,yoga sculpt,austin
2025-11-02,0,yoga sculpt,austin
2025-11-09,0,yoga sculpt,austin
2025-11-16,0,yoga sculpt,austin
2025-11-23,0,yoga sculpt,austin
2025-11-30,98,yoga sculpt,austin
2025-12-07,100,yoga sculpt,austin
2024-12-08,0,yoga sculpt,new jersey
2024-12-15,0,yoga sculpt,new jersey
2024-12-22,0,yoga sculpt,new jersey
2024-12-29,0,yoga sculpt,new jersey
2025-01-05,0,yoga sculpt,new jersey
2025-01-12,0,yoga sculpt,new jersey
2025-01-19,0,yoga sculpt,new jersey
2025-01-26,0,yoga sculpt,new jersey
2025-02-02,0,yoga sculpt,new jersey
2025-02-09,0,yoga sculpt,new jersey
2025-02-16,0,yoga sculpt,new jersey
2025-02-23,0,yoga sculpt,new jersey
2025-03-02,0,yoga sculpt,new jersey
2025-03-09,0,yoga sculpt,new jersey
2025-03-16,0,yoga sculpt,new jersey
2025-03-23,0,yoga sculpt,new jersey
2025-03-30,100,yoga sculpt,new jersey
2025-04-06,0,yoga sculpt,new jersey
2025-04-13,0,yoga sculpt,new jersey
2025-04-20,0,yoga sculpt,new jersey
2025-04-27,0,yoga sculpt,new jersey
2025-05-04,0,yoga sculpt,new jersey
2025-05-11,0,yoga sculpt,new jersey
2025-05-18,0,yoga sculpt,new jersey
2025-05-25,0,yoga sculpt,new jersey
2025-06-01,0,yoga sculpt,new jersey
2025-06-08,0,yoga sculpt,new jersey
2025-06-15,0,yoga sculpt,new jersey
2025-06-22,0,yoga sculpt,new jersey
2025-06-29,0,yoga sculpt,new jersey
2025-07-06,0,yoga sculpt,new jersey
2025-07-13,0,yoga sculpt,new jersey
2025-07-20,0,yoga sculpt,new jersey
2025-07-27,0,yoga sculpt,new jersey
2025-08-03,0,yoga sculpt,new jersey
2025-08-10,0,yoga sculpt,new jersey
2025-08-17,0,yoga sculpt,new jersey
2025-08-24,0,yoga sculpt,new jersey
2025-08-31,0,yoga sculpt,new jersey
2025-09-07,0,yoga sculpt,new jersey
2025-09-14,0,yoga sculpt,new jersey
2025-09-21,0,yoga sculpt,new jersey
2025-09-28,0,yoga sculpt,new jersey
2025-10-05,0,yoga sculpt,new jersey
2025-10-12,0,yoga sculpt,new jersey
2025-10-19,0,yoga sculpt,new jersey
2025-10-26,0,yoga sculpt,new jersey
2025-11-02,0,yoga sculpt,new jersey
2025-11-09,0,yoga sculpt,new jersey
2025-11-16,0,yoga sculpt,new jersey
2025-11-23,8,yoga sculpt,new jersey
2025-11-30,22,yoga sculpt,new jersey
2025-12-07,13,yoga sculpt,new jersey
2024-12-08,45,community care,chicago
2024-12-15,52,community care,chicago
2024-12-22,37,community care,chicago
2024-12-29,50,community care,chicago
2025-01-05,64,community care,chicago
2025-01-12,71,community care,chicago
2025-01-19,54,community care,chicago
2025-01-26,50,community care,chicago
2025-02-02,53,community care,chicago
2025-02-09,57,community care,chicago
2025-02-16,46,community care,chicago
2025-02-23,69,community care,chicago
2025-03-02,53,community care,chicago
2025-03-09,52,community care,chicago
2025-03-16,53,community care,chicago
2025-03-23,40,community care,chicago
2025-03-30,54,community care,chicago
2025-04-06,60,community care,chicago
2025-04-13,50,community care,chicago
2025-04-20,60,community care,chicago
2025-04-27,59,community care,chicago
2025-05-04,60,community care,chicago
2025-05-11,49,community care,chicago
2025-05-18,44,community care,chicago
2025-05-25,52,community care,chicago
2025-06-01,49,community care,chicago
2025-06-08,54,community care,chicago
2025-06-15,59,community care,chicago
2025-06-22,58,community care,chicago
2025-06-29,54,community care,chicago
2025-07-06,68,community care,chicago
2025-07-13,72,community care,chicago
2025-07-20,58,community care,chicago
2025-07-27,68,community care,chicago
2025-08-03,51,community care,chicago
2025-08-10,53,community care,chicago
2025-08-17,41,community care,chicago
2025-08-24,58,community care,chicago
2025-08-31,46,community care,chicago
2025-09-07,65,community care,chicago
2025-09-14,80,community care,chicago
2025-09-21,73,community care,chicago
2025-09-28,71,community care,chicago
2025-10-05,70,community care,chicago
2025-10-12,59,community care,chicago
2025-10-19,59,community care,chicago
2025-10-26,71,community care,chicago
2025-11-02,100,community care,chicago
2025-11-09,85,community care,chicago
2025-11-16,99,community care,chicago
2025-11-23,42,community care,chicago
2025-11-30,54,community care,chicago
2025-12-07,55,community care,chicago
2024-12-08,51,community care,salt lake city
2024-12-15,0,community care,salt lake city
2024-12-22,0,community care,salt lake city
2024-12-29,0,community care,salt lake city
2025-01-05,66,community care,salt lake city
2025-01-12,55,community care,salt lake city
2025-01-19,0,community care,salt lake city
2025-01-26,61,community care,salt lake city
2025-02-02,0,community care,salt lake city
2025-02-09,0,community care,salt lake city
2025-02-16,61,community care,salt lake city
2025-02-23,79,community care,salt lake city
2025-03-02,0,community care,salt lake city
2025-03-09,52,community care,salt lake city
2025-03-16,64,community care,salt lake city
2025-03-23,62,community care,salt lake city
2025-03-30,98,community care,salt lake city
2025-04-06,86,community care,salt lake city
2025-04-13,56,community care,salt lake city
2025-04-20,0,community care,salt lake city
2025-04-27,50,community care,salt lake city
2025-05-04,57,community care,salt lake city
2025-05-11,53,community care,salt lake city
2025-05-18,67,community care,salt lake city
2025-05-25,0,community care,salt lake city
2025-06-01,0,community care,salt lake city
2025-06-08,61,community care,salt lake city
2025-06-15,53,community care,salt lake city
2025-06-22,65,community care,salt lake city
2025-06-29,0,community care,salt lake city
2025-07-06,65,community care,salt lake city
2025-07-13,73,community care,salt lake city
2025-07-20,89,community care,salt lake city
2025-07-27,66,community care,salt lake city
2025-08-03,49,community care,salt lake city
2025-08-10,0,community care,salt lake city
2025-08-17,59,community care,salt lake city
2025-08-24,0,community care,salt lake city
2025-08-31,0,community care,salt lake city
2025-09-07,79,community care,salt lake city
2025-09-14,60,community care,salt lake city
2025-09-21,99,community care,salt lake city
2025-09-28,87,community care,salt lake city
2025-10-05,63,community care,salt lake city
2025-10-12,70,community care,salt lake city
2025-10-19,0,community care,salt lake city
2025-10-26,85,community care,salt lake city
2025-11-02,89,community care,salt lake city
2025-11-09,70,community care,salt lake city
2025-11-16,100,community care,salt lake city
2025-11-23,58,community care,salt lake city
2025-11-30,56,community care,salt lake city
2025-12-07,50,community care,salt lake city
2024-12-08,63,community care,austin
2024-12-15,60,community care,austin
2024-12-22,45,community care,austin
2024-12-29,80,community care,austin
2025-01-05,62,community care,austin
2025-01-12,71,community care,austin
2025-01-19,76,community care,austin
2025-01-26,76,community care,austin
2025-02-02,84,community care,austin
2025-02-09,66,community care,austin
2025-02-16,77,community care,austin
2025-02-23,82,community care,austin
2025-03-02,61,community care,austin
2025-03-09,71,community care,austin
2025-03-16,75,community care,austin
2025-03-23,74,community care,austin
2025-03-30,68,community care,austin
2025-04-06,70,community care,austin
2025-04-13,75,community care,austin
2025-04-20,52,community care,austin
2025-04-27,63,community care,austin
2025-05-04,60,community care,austin
2025-05-11,77,community care,austin
2025-05-18,69,community care,austin
2025-05-25,60,community care,austin
2025-06-01,81,community care,austin
2025-06-08,69,community care,austin
2025-06-15,73,community care,austin
2025-06-22,83,community care,austin
2025-06-29,74,community care,austin
2025-07-06,67,community care,austin
2025-07-13,90,community care,austin
2025-07-20,75,community care,austin
2025-07-27,92,community care,austin
2025-08-03,70,community care,austin
2025-08-10,77,community care,austin
2025-08-17,64,community care,austin
2025-08-24,85,community care,austin
2025-08-31,69,community care,austin
2025-09-07,80,community care,austin
2025-09-14,78,community care,austin
2025-09-21,81,community care,austin
2025-09-28,72,community care,austin
2025-10-05,79,community care,austin
2025-10-12,81,community care,austin
